name,note,source,group,subgroup
Exotic Matter - Antimatter,Matter 5,Tradition Book: Sons of Ether (Revised) page 61; Enlightened Grimoire p. 85,Inanimate Objects,
Exotic Matter - Primium,"Matter 5, Prime 3",Technocracy: Iteration X page 48 (as Smelt Primium); Tradition Book: Sons of Ether (Revised) page 62; Enlightened Grimoire p. 85,Inanimate Objects,
Experience Substance,"Life 5; Life 3, Correspondence 3, Matter 2",Hidden Lore page 17; Enlightened Grimoire p. 69,Healing and Harming,
False Witness,Mind 3,The Swashbuckler’s Handbook page 93; Enlightened Grimoire p. 191,Uncanny Influence,
Fatherless Birth,"Entropy 5, Life 5, Prime 5, Spirit 5",Dead Magic 2 page 118; Enlightened Grimoire p. 169,Transformations,
Fetter Ball,"Prime 2, Spirit 4",Tradition Book: Hollow Ones (Revised) page 65; Enlightened Grimoire p. 131,Necromancy,
Fiat Lux,"Forces 2 or 3, Prime 2",Tradition Book: Celestial Chorus (First Edition) page 64; Enlightened Grimoire p. 43,Elemental Magick,
Filter All-Space,"Correspondence 3, optional Mind 1",Mage: The Ascension First Edition page 186; Technocracy: New World Order page 44 (as Dragnet); Mage: The Ascension Second Edition page 190; Mage: The Ascension Revised page 160; Enlightened Grimoire p. 35,Divination and Fate,
Filter’d Lantern-Light,Forces 2,Artisan’s Handbook page 49; Enlightened Grimoire p. 43,Elemental Magick,
Find the Guilty,Mind 2,Dead Magic page 27; Enlightened Grimoire p. 125,Mystic Perception,
Find the Sun,Correspondence 1,Book of Crafts page 73; Enlightened Grimoire p. 119,Mystic Perception,
Fire Rune,Forces 3 or Matter 5,Dead Magic 2 page 99; Enlightened Grimoire p. 41,Elemental Magick,
Fits Like a Glove,Matter 3,Mage Storyteller’s Companion page 63; Enlightened Grimoire p. 89,Inanimate Objects,
Flames of Purification,Prime 4,Mage: The Ascension First Edition page 211; Mage: The Ascension Second Edition page 215; Mage: The Ascension Revised page 184; Enlightened Grimoire p. 53,Energy-Work,
Flesh Toys,"Life 3 or 5, Prime 2",Mage: The Ascension First Edition page 224; Enlightened Grimoire p. 169,Transformations,
Flower Gesture,"Mind 3, Time 3",Tradition Book: Akashic Brotherhood (Revised) page 71; Enlightened Grimoire p. 103,Movement and Communication,
Fluids of Death,"Life 4, Entropy 4",Mage: The Ascension First Edition page 224; Enlightened Grimoire p. 71,Healing and Harming,
Focus of the Blow,"Forces 1, Mind 1",Tradition Book: Akashic Brotherhood (First Edition) page 63; Enlightened Grimoire p. 61,Enhanced Combat,
Followme,"Correspondence 1, Mind 2",Initiates of the Art page 81; Enlightened Grimoire p. 125,Mystic Perception,
Footbind,"Prime 3, Life 2, Forces 2",Book of Crafts page 119; Enlightened Grimoire p. 51,Energy-Work,
FOR NEXT Loop,"Correspondence 4, Life 4, Forces 2",Mage: The Ascension First Edition page 220; Enlightened Grimoire p. 21,Computers,
Forecasting,"Entropy 2, Time 2",Convention Book: Syndicate (Revised) page 74; Enlightened Grimoire p. 31,Divination and Fate,
Fount of Paradise,Prime 5,Mage: The Ascension Revised page 185; Enlightened Grimoire p. 51,Energy-Work,
Fractal Encryption,"Entropy 3, Forces 2, Prime 2",Digital Web 2.0 page 115; Enlightened Grimoire p. 19,Computers,
Free Conjunction,Correspondence 5,Mage: The Ascension First Edition page 188; Enlightened Grimoire p. 111,Movement and Communication,
Free the Mad Howlers,Spirit 3 or 4,Mage: The Ascension Second Edition page 218; Enlightened Grimoire p. 158,"Summoning, Binding and Warding",
Friction Curse,Forces 3,Mage: The Ascension Revised page 166; Enlightened Grimoire p. 41,Elemental Magick,
Gabriel’s Embrace,"Correspondence 2, Matter 2 or Life 5, Prime 2, Forces 3; Prime 3, Forces 2",Blood Treachery page 88; Enlightened Grimoire p. 41,Elemental Magick,
Games of Luck,Entropy 2,Mage: The Ascension First Edition page 192; Technocracy: Syndicate page 47 (as Stacking the Deck); Mage: The Ascension Second Edition page 194; Mage: The Ascension Revised page 163; Enlightened Grimoire p. 12,Blessings and Curses,
Gauntlet Prison,Spirit 4,Mage: The Ascension First Edition page 215; Mage: The Ascension Second Edition page 218; Enlightened Grimoire p. 154,"Summoning, Binding and Warding",
Genetic Mastery,Life 5,Technocracy: Progenitors page 43; Enlightened Grimoire p. 170,Transformations,
Genetic Pattern Matching,Life 4,Technocracy: Progenitors page 43; Enlightened Grimoire p. 168,Transformations,
Geometric Jars,"Correspondence 2, optional Forces 1",Artisan’s Handbook page 51; Enlightened Grimoire p. 35,Divination and Fate,
"Ghayba (Occultation or ""Unbeingness"")","Correspondence 4, Mind 2, Prime 4 or 5, Spirit 3",Lost Paths: Ahl-i-Batin and Taftani page 43; Enlightened Grimoire p. 139,Obfuscation,
Ghost Rune,"Entropy 1, Spirit 2, optional Correspondence 2, optional Time 2",Dead Magic 2 page 99; Enlightened Grimoire p. 135,Necromancy,
Ghost-Burning,"Spirit 2, Forces 2",Artisan’s Handbook page 52; Enlightened Grimoire p. 131,Necromancy,
Gift of Prana,"Life 2 or 3, Prime 3",Dragons of the East page 67; Tradition Book: Euthanatos (Revised) page 61; Enlightened Grimoire p. 79,Healing and Harming,
Glorious Is the Temple,"Prime 3, Mind 2",Artisan’s Handbook page 52; Enlightened Grimoire p. 49,Energy-Work,
Goanna's Hiding,Mind 1,Dead Magic 2 page 64; Hidden Lore page 48; Enlightened Grimoire p. 137,Obfuscation,
Going Under the Cloak,"Life 2, Mind 4",Dead Magic 2 page 103; Enlightened Grimoire p. 109,Movement and Communication,
Golden Gunman,"Entropy 2, Forces 2",Guide to the Technocracy page 216; Enlightened Grimoire p. 65,Enhanced Combat,
Graft Alien Bio-Matter Between Animals,Life 3,Technocracy: Progenitors page 41; Enlightened Grimoire p. 168,Transformations,
Grand Salvo,Forces 2,Artisan’s Handbook page 50; Enlightened Grimoire p. 64,Enhanced Combat,
Graphic Transmission,Mind 3,Mage: The Ascension First Edition page 206; Mage: The Ascension Second Edition page 210; Enlightened Grimoire p. 22,Computers,
Guncotton's Blessing,Matter 3,Dead Magic 2 page 65; Enlightened Grimoire p. 81,Inanimate Objects,
Hacker's Glance,"Entropy 2, Correspondence 1",Digital Web page 98; Enlightened Grimoire p. 22,Computers,
Hail of Bullets,"Time 3, Forces 2",Technocracy: New World Order page 48; Enlightened Grimoire p. 59,Enhanced Combat,
Hajjaj,"Correspondence 3, Life 3, Mind 2, optional Time 4",Lost Paths: Ahl-i-Batin and Taftani page 41; Enlightened Grimoire p. 73,Healing and Harming,
Hallmark,"Mind 2, Prime 1",Book of Shadows page 145; Enlightened Grimoire p. 127,Mystic Perception,
Hardware Entry,Correspondence 1,Digital Web page 98; Enlightened Grimoire p. 19,Computers,
Heal Simple Creature,"Life 3, Mind 2 or 4, Spirit 2 or 4",Tradition Book: Dreamspeakers (First Edition) page 67; Enlightened Grimoire p. 75,Healing and Harming,
Healing Figurine,Life 3,Dead Magic page 29; Enlightened Grimoire p. 73,Healing and Harming,
Healthy Skepticism,Prime 5,Mage: The Ascension Revised page 185; Enlightened Grimoire p. 53,Energy-Work,
Heart’s Blood,Prime 1,Mage: The Ascension Second Edition page 214; Mage: The Sorcerer’s Crusade page 269; Order of Reason page 82; Enlightened Grimoire p. 55,Energy-Work,
Heat Seeking,"Correspondence 2, Life 1, Forces 1",Technocracy: New World Order page 48; Enlightened Grimoire p. 35,Divination and Fate,
Heat Trace,"Time 2, Forces 1",Hidden Lore page 17; Enlightened Grimoire p. 35,Divination and Fate,
Hellfire,"Prime 3 or 4, Spirit 2",Dead Magic 2 page 101; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Help Rune,"Mind 1, Prime 1, optional Prime 2 or 5",Dead Magic 2 page 97; Enlightened Grimoire p. 77,Healing and Harming,
Hepatoscopy,Time 2,Dead Magic 2 page 143; Enlightened Grimoire p. 31,Divination and Fate,
"Here Kitty, Kitty","Correspondence 3, Mind 3, Time 3",Tradition Book: Virtual Adepts (Revised) page 62; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Hermes’ Brand,"Entropy 1, Prime 2, Forces 3, Time 4",Dead Magic page 107; Blood Treachery page 89; Enlightened Grimoire p. 42,Elemental Magick,
"Hersh, ""To be Patient""","Correspondence 1, Mind 1, Spirit 1",Book of Crafts page 56; Enlightened Grimoire p. 127,Mystic Perception,
High Rhetoric,Mind 2,Artisan’s Handbook page 51; Enlightened Grimoire p. 185,Uncanny Influence,
Higher Lifeform Grafting and Recombination,Life 4,Technocracy: Progenitors page 40; Enlightened Grimoire p. 168,Transformations,
Holdout Weapon,"Matter 3, Prime 2",Technocracy: New World Order page 49; Guide to the Technocracy page 213; Enlightened Grimoire p. 64,Enhanced Combat,
Holy Union,"Spirit 4, Prime 3, Mind 3, optional Life 5","Ascension, page 197-199; Enlightened Grimoire p. 172",Transformations,
Hoodoo Man's Heartbeat,Mind 2,Order of Reason page 79; Enlightened Grimoire p. 183,Uncanny Influence,
Hope’s Birth,"Mind 2, optional Prime 2",Tradition Book: Celestial Chorus (Revised) page 57; Enlightened Grimoire p. 185,Uncanny Influence,
Horsemaster’s Bidding,Mind 2,The Swashbuckler’s Handbook page 91; Enlightened Grimoire p. 188,Uncanny Influence,
Hot-Shotting,Forces 3,Guide to the Technocracy page 210; Mage: The Ascension 20th Anniversary Edition page 601; Enlightened Grimoire p. 64,Enhanced Combat,
"Huli Shjalmr (""Helmet of Hiding"")","Prime 2 or 3, Forces 2 or Mind 4 or Entropy 5",Dead Magic 2 page 103; Enlightened Grimoire p. 141,Obfuscation,
Hymn of Beatific Harmony,"Prime 3, Correspondence 3",Mage: The Ascension First Edition page 226; Enlightened Grimoire p. 51,Energy-Work,
Hypernarrative Influence,Mind 5,Technocracy: New World Order page 47; Enlightened Grimoire p. 194,Uncanny Influence,
I Know Your Cousin,"Mind 2, Correspondence 3, Life 1",Fallen Tower: Las Vegas pas 120; Enlightened Grimoire p. 125,Mystic Perception,
Idealism,Entropy 1,Order of Reason page 69; Enlightened Grimoire p. 121,Mystic Perception,
Ignis,"Forces 3, Prime 2",Tradition Book: Order of Hermes (First Edition) page 65; Enlightened Grimoire p. 42,Elemental Magick,
Imaginary Friend,"Mind 4, Prime 2",Technocracy: New World Order page 49; Enlightened Grimoire p. 191,Uncanny Influence,
Imbue Flesh,"Life 2, Spirit 2",Mage: The Ascension First Edition page 224; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Impulse Purchase,"Mind 3 or Mind 2, Prime 2",Guide to the Technocracy page 215; Enlightened Grimoire p. 194,Uncanny Influence,
Inferno,Forces 5,Mage: The Ascension Revised page 167; Enlightened Grimoire p. 42,Elemental Magick,
Infidel's Laughter,"Forces 2, Spirit 2",Lost Paths: Ahl-i-Batin and Taftani page 89; Enlightened Grimoire p. 57,Enhanced Combat,
Infiltration,Correspondence 3,Order of Reason page 68; Enlightened Grimoire p. 103,Movement and Communication,
Information Glut,"Correspondence 2, Mind 1, Time 2",Tradition Book: Virtual Adepts (First Edition) page 62; Enlightened Grimoire p. 119,Mystic Perception,
Information Overload,"Correspondence 2, Mind 2",Tradition Book: Virtual Adepts (Revised) page 66; Enlightened Grimoire p. 119,Mystic Perception,
Information Superhighway,"Time 3, Correspondence 2",Digital Web page 99; Enlightened Grimoire p. 19,Computers,
Initiation,"Mind 3, Prime 2",Order of Reason page 90; Enlightened Grimoire p. 185,Uncanny Influence,
Instant Measurement,"Correspondence 1, Matter 1, Mind 1",Mage: The Ascension Second Edition page 206; Hidden Lore page 18; Enlightened Grimoire p. 124,Mystic Perception,
Instant Offline,"Correspondence 3, Forces 2",Digital Web page 98; Digital Web 2.0 page 115; Enlightened Grimoire p. 19,Computers,
Internal Clock,Time 1,Mage: The Ascension First Edition page 218; Technocracy: Iteration X page 48 (as Rigid Schedule); Mage: The Ascension Second Edition page 223; Enlightened Grimoire p. 128,Mystic Perception,
Iron Avatar,"Life 3, Matter 3, Mind 2, Prime 2, optional Spirit 4, Time 4",Tradition Book: Euthanatos (First Edition) page 67; Tradition Book: Euthanatos (Revised) page 60; Enlightened Grimoire p. 172,Transformations,
Iron Snake,"Correspondence 2, Forces 2, Mind 3",Tradition Book: Akashic Brotherhood (Revised) page 67; The Swashbuckler’s Handbook page 95 (as Piercing Thrust); Enlightened Grimoire p. 63,Enhanced Combat,
Ishin Den Shin,"Correspondence 2, Mind 2",Tradition Book: Akashic Brotherhood (Revised) page 77; Enlightened Grimoire p. 125,Mystic Perception,
Jack in the Green,"Spirit 3, Life 2",Hidden Lore page 18; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Jaguar Cloak,"Life 5, Matter 3, Prime 3, Spirit 2",Dead Magic page 78; Enlightened Grimoire p. 173,Transformations,
Jivitamarana (Death in Life) Yoga,"Entropy 4 or Matter 4, Life 4",Tradition Book: Euthanatos (Revised) page 67; Enlightened Grimoire p. 165,Transformations,
Jolt,"Life 2, optional Mind 1",Digital Web 2.0 page 112; Enlightened Grimoire p. 95,Miscellaneous,
Karmic Inversion,"Correspondence 1, Spirit 1",Book of Shadows page 145; Dead Magic 2 page 81; Enlightened Grimoire p. 113,Movement and Communication,
Kaumaha (Sacrifice),"Prime 3, Spirit 2",Dead Magic 2 page 27; Enlightened Grimoire p. 55,Energy-Work,
Kinetic Push,Forces 2,Guide to the Technocracy page 209; Enlightened Grimoire p. 95,Miscellaneous,
Kispu,"Entropy 3, Correspondence 3",Dead Magic page 57; Enlightened Grimoire p. 134,Necromancy,
Kiss of the Virtuous Maiden,"Matter 2, Prime 2",Dragons of the East page 66; Enlightened Grimoire p. 84,Inanimate Objects,
Knock Out,"Mind 3, Prime 2",Tradition Book: Sons of Ether (First Edition) page 64; Enlightened Grimoire p. 77,Healing and Harming,
Kuoha (The Passion Prayer),"Correspondence 3, Life 2, Mind 2",Dead Magic 2 page 27; Enlightened Grimoire p. 183,Uncanny Influence,
Landscape of the Mind,Correspondence 1,Mage: The Ascension Revised page 158; Enlightened Grimoire p. 119,Mystic Perception,
Laser Production,"Forces 3, Prime 2",Technocracy: Void Engineers page 42; Enlightened Grimoire p. 43,Elemental Magick,
Laserblast,"Forces 3, Prime 2",Technocracy: Void Engineers page 48; Enlightened Grimoire p. 64,Enhanced Combat,
Laying on of Hands,"Entropy 1, Life 1, Time 2",Book of Crafts page 119; Dead Magic 2 page 102; Enlightened Grimoire p. 28,Divination and Fate,
Leap Beyond,"Spirit 5, Mind 4",Mage: The Ascension First Edition page 227; Enlightened Grimoire p. 102,Movement and Communication,
Leap Sideways,"Spirit 3, Correspondence 3",Mage: The Ascension First Edition page 227; Enlightened Grimoire p. 113,Movement and Communication,
Learn-It,"Correspondence 2, Entropy 2, Prime 3, Time 2",Tradition Book: Virtual Adepts (Revised) page 62; Enlightened Grimoire p. 14,Blessings and Curses,
Lecherous Kiss,"Mind 2, Life 2, Prime 2",Book of Shadows page 142; Enlightened Grimoire p. 184,Uncanny Influence,
Legion's Life,"Prime 3, Life 2",Dead Magic page 106; Enlightened Grimoire p. 59,Enhanced Combat,
Lesser Shapechanging,Life 4,Mage: The Ascension Second Edition page 203; Enlightened Grimoire p. 174,Transformations,
Leying of the Line,"Prime 3, Matter 3",Book of Chantries page 149; Enlightened Grimoire p. 49,Energy-Work,
Life Sense,Life 1; Life 1,Mage: The Ascension Second Edition page 201; Technocracy: Progenitors page 43; Enlightened Grimoire p. 123,Mystic Perception,
Lighting the Path,Correspondence 2 or Entropy 2,Tradition Book: Celestial Chorus (Revised) page 58; Enlightened Grimoire p. 28,Divination and Fate,
Lightning Gateway,"Forces 3, Prime 2",Tradition Book: Order of Hermes (First Edition) page 65; Mage: The Ascension First Edition page 223; Enlightened Grimoire p. 40,Elemental Magick,
Like Clockwork,Entropy 3,Mage: The Ascension Second Edition page 194; Mage: The Ascension Revised page 163; Enlightened Grimoire p. 91,Inanimate Objects,
Lip Reading,"Mind 3, Entropy 2, optional Time 2",Order of Reason page 91; Enlightened Grimoire p. 125,Mystic Perception,
Living Bridge,Spirit 4,Mage: The Ascension Second Edition page 219; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Lobotomize,Mind 5,Technocracy: Void Engineers page 45; Enlightened Grimoire p. 95,Miscellaneous,
Locate Disorder and Weakness,Entropy 1,Mage: The Ascension First Edition page 192; Mage: The Ascension Second Edition page 193; Mage: The Ascension Revised page 162; Enlightened Grimoire p. 121,Mystic Perception,
Locate Quintessence Flow,Prime 1,Technocracy: Void Engineers page 45; Enlightened Grimoire p. 49,Energy-Work,
Long-Range Eyes,"Time 2, Correspondence 2, Mind 1",Tradition Book: Akashic Brotherhood (First Edition) page 62; Enlightened Grimoire p. 31,Divination and Fate,
Lotus Bloom,Forces 3,Book of Crafts page 119; Enlightened Grimoire p. 42,Elemental Magick,
"Love Me, Love Me","Life 3, Mind 2",Dead Magic 2 page 81; Enlightened Grimoire p. 165,Transformations,
Loving Cup,"Life 3, Mind 2",Order of Reason page 91; Enlightened Grimoire p. 186,Uncanny Influence,
Lower Lifeform Manipulation,Life 2,Technocracy: Progenitors page 40; Enlightened Grimoire p. 168,Transformations,
Luck Be a Lady Tonight,"Entropy 1, Spirit 2",Fallen Tower: Las Vegas pas 120; Enlightened Grimoire p. 12,Blessings and Curses,
Luck Blessing/Curse,"Spirit 3, Entropy 2",The Spirit Ways page 90; Enlightened Grimoire p. 9,Blessings and Curses,
Lucky Blow,Entropy 2,Order of Reason page 70; Enlightened Grimoire p. 57,Enhanced Combat,
Lull the Waking Dreamborn,"Spirit 4, Life 3, Prime 2",Dead Magic 2 page 65; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Machine God,"Mind 2, Matter 1, Forces 1",Technocracy: Iteration X page 50; Enlightened Grimoire p. 84,Inanimate Objects,
Mahu (Steam),"Forces 2, Prime 2; Forces 5",Dead Magic 2 page 28; Enlightened Grimoire p. 44,Elemental Magick,
Maikai (The Seaward Pull),Mind 3,Dead Magic 2 page 28; Enlightened Grimoire p. 194,Uncanny Influence,
Maintain Device,Prime 3,Order of Reason page 83; Enlightened Grimoire p. 91,Inanimate Objects,
Major Environmental Alteration,Matter 3,Technocracy: Void Engineers page 44; Enlightened Grimoire p. 168,Transformations,
Major Geas,"Entropy 5, Mind 5",Dead Magic 2 page 118; Enlightened Grimoire p. 29,Divination and Fate,
Manipulate Memories,Mind 5,Technocracy: Progenitors page 42; Enlightened Grimoire p. 192,Uncanny Influence,
Manipulate Memory,Mind 4,Mage: The Ascension First Edition page 207; Technocracy: New World Order page 47 (as Edit Memory); Mage: The Ascension Second Edition page 211; Mage: The Ascension Revised page 178; Enlightened Grimoire p. 192,Uncanny Influence,
Manipulate Time Fragment,Time 2,Technocracy: Void Engineers page 46; Enlightened Grimoire p. 31,Divination and Fate,
Marching Orders,Mind 1,Order of Reason page 78; Enlightened Grimoire p. 59,Enhanced Combat,
Masquerade to Adulthood,Spirit 3 or Correspondence 2,Dead Magic page 29; Enlightened Grimoire p. 12,Blessings and Curses,
Master's Enchantment,Prime 5,Mage: The Ascension Revised page 185; Enlightened Grimoire p. 46,Energy-Work,
Matter Association,Matter 5,Mage: The Ascension Revised page 174; Enlightened Grimoire p. 81,Inanimate Objects,
Matter-Energy Converter,Prime 2 or 5,Technocracy: Void Engineers page 48; Enlightened Grimoire p. 53,Energy-Work,
Melt and Reform,Matter 2,Mage: The Ascension Revised page 173; Enlightened Grimoire p. 83,Inanimate Objects,
Mental Interface,"Correspondence 2, Forces 2, Mind 2",Hidden Lore page 19; Enlightened Grimoire p. 23,Computers,
Merlin's Ride,Correspondence 3 or 4,Tradition Book: Verbena (First Edition) page 64; Enlightened Grimoire p. 101,Movement and Communication,
Mershakushtu Qurdu,Entropy 3,Dead Magic page 51; Enlightened Grimoire p. 95,Miscellaneous,
Midwife's Blessing,Entropy 4,Mage: The Ascension Second Edition page 195; Mage: The Ascension Revised page 164; Enlightened Grimoire p. 12,Blessings and Curses,
Mind Empowerment,Mind 1,Technocracy: Progenitors page 42 (as Empower Self); Mage: The Ascension Revised page 176; Enlightened Grimoire p. 126,Mystic Perception,
Mind of the Ant Hill,Mind 4,Dead Magic page 107; Enlightened Grimoire p. 60,Enhanced Combat,
Mind Rune,"Mind 3, optional Entropy 2",Mage: The Ascension 20th Anniversary Edition page 603; Dead Magic 2 page 101; Enlightened Grimoire p. 194,Uncanny Influence,
Mindfulness of Wrong Thought,"Mind 2, Life 1 or Matter 1",Hidden Lore page 13; Enlightened Grimoire p. 126,Mystic Perception,
Minor Geas,Entropy 5,Mage: The Ascension Revised page 164; Enlightened Grimoire p. 29,Divination and Fate,
Mold Tree,"Correspondence 5, Life 3, optional Matter 3",Mage: The Ascension First Edition page 199; Enlightened Grimoire p. 169,Transformations,
Monitor Communications,"Forces 1; Correspondence 2, Mind 1",Technocracy: New World Order page 45; Enlightened Grimoire p. 25,Divination and Fate,
Mono Kahea 'Ai (Shark Call),"Correspondence 3, Mind 2",Dead Magic 2 page 29; Enlightened Grimoire p. 189,Uncanny Influence,
Mood Swing/Communion,"Mind 2, optional Correspondence 2",Tradition Book: Cult of Ecstasy (First Edition) page 65; Enlightened Grimoire p. 186,Uncanny Influence,
Morpheus’s Kiss,"Life 2, Mind 2",The Swashbuckler’s Handbook page 93; Enlightened Grimoire p. 195,Uncanny Influence,
Motivational Speaking,"Mind 2 or 3, Prime 2",Guide to the Technocracy page 215; Enlightened Grimoire p. 186,Uncanny Influence,
Move Along,Mind 2,Technocracy: New World Order page 45; Enlightened Grimoire p. 137,Obfuscation,
Mukashuan,"Life 3, optional Spirit 3",Dead Magic page 131; Enlightened Grimoire p. 75,Healing and Harming,
Mutate Ephemera,Entropy 5,Mage: The Ascension Revised page 164; Enlightened Grimoire p. 97,Miscellaneous,
Mutate Form,Life 4,Dead Magic page 131; Mage: The Ascension First Edition page 200; Mage: The Ascension Second Edition page 203; Mage: The Ascension Revised page 171; Enlightened Grimoire p. 174,Transformations,
Namburbu,"Entropy 4, Prime 3, Spirit 3, Correspondence 2, Life 2",Dead Magic page 54; Enlightened Grimoire p. 9,Blessings and Curses,
Nanotech Integration,"Life 4, Matter 2, Prime 5",Technocracy: Progenitors page 45 (as Nanotech Life Support); Convention Book: Progenitors (Revised) page 74; Enlightened Grimoire p. 178,Transformations,
Nearest and Dearest,"Mind 3, Correspondence 2, Time 2",Hidden Lore page 54; Enlightened Grimoire p. 25,Divination and Fate,
Neon-Mail,"Forces 2, Life 1, Time 4, optional Correspondence 3",Fallen Tower: Las Vegas pas 119; Enlightened Grimoire p. 107,Movement and Communication,
Nervous Control,"Forces 3, Life 3",Technocracy: Progenitors page 44 (as Control Nerves); Convention Book: Progenitors (Revised) page 74; Enlightened Grimoire p. 195,Uncanny Influence,
Nick of Time,"Correspondence 3, Entropy 2, Time 2",Tradition Book: Virtual Adepts (Revised) page 64; Enlightened Grimoire p. 147,Space-Time Management,
Night Battle,"Mind 4, Forces 3, Prime 2, Spirit 2",Tradition Book: Dreamspeakers (Revised) page 69; Enlightened Grimoire p. 97,Miscellaneous,
Nightmare Dance,"Spirit 2 or Mind 3, optional Correspondence 2",Tradition Book: Dreamspeakers (First Edition) page 67; Enlightened Grimoire p. 191,Uncanny Influence,
Nitrogen Narcosis,"Life 3, Matter 2",Technocracy: Void Engineers page 48; Enlightened Grimoire p. 115,Movement and Communication,
No-Mind,Mind 1,Mage: The Ascension First Edition page 206; Mage: The Ascension Second Edition page 209; Mage: The Ascension Revised page 176; Enlightened Grimoire p. 126,Mystic Perception,
Nobody Dies in Vegas,"Entropy 4, Correspondence 4",Fallen Tower: Las Vegas pas 119; Enlightened Grimoire p. 12,Blessings and Curses,
Node Spike,"Prime 3, Mind 2 or 3",Guide to the Traditions page 281; Enlightened Grimoire p. 53,Energy-Work,
Non-Descript,Mind 2,Guide to the Technocracy page 214; Enlightened Grimoire p. 139,Obfuscation,
Nonlinear Prediction,Entropy 2,Guide to the Technocracy page 208; Enlightened Grimoire p. 31,Divination and Fate,
Oak of Sanguine Root,"Correspondence 2, Prime 2, Life 3, Matter 3",Blood Treachery page 89; Enlightened Grimoire p. 170,Transformations,
Oathbreaker’s Lash,"Entropy 1, Forces 3",Blood Treachery page 87; Enlightened Grimoire p. 121,Mystic Perception,
One with Beasts,Life 4 or 5 or Spirit 4,Book of Crafts page 26; Enlightened Grimoire p. 174,Transformations,
Online Virus Transmitter Program,"Correspondence 2, Forces 2, Life 2, Prime 2",Digital Web 2.0 page 112; Enlightened Grimoire p. 19,Computers,
Organize,Entropy 1,Technocracy: Iteration X page 47; Enlightened Grimoire p. 121,Mystic Perception,
Our Enemies are Delicious,"Life 3, Spirit 3",Dead Magic page 76; Enlightened Grimoire p. 178,Transformations,
Override Signal,Forces 2 or Life 4,Book of Shadows page 144; Enlightened Grimoire p. 103,Movement and Communication,
Overwrite,"Prime 4, Entropy 3, Forces 3",Digital Web page 99; Enlightened Grimoire p. 19,Computers,
Parallax,"Correspondence 1, Entropy 1, Forces 1, Mind 1, Prime 1",Digital Web 2.0 page 115; Digital Web 2.0 page 112; Enlightened Grimoire p. 20,Computers,
Parma Magica,Time 4,Tradition Book: Order of Hermes (First Edition) page 65; Mage: The Ascension First Edition page 219; Mage: The Ascension Second Edition page 223; Mage: The Ascension Revised page 193; Enlightened Grimoire p. 46,Energy-Work,
Pass the Key,"Entropy 2, Matter 2, optional Forces 2",Orphan’s Survival Guide page 124; Enlightened Grimoire p. 103,Movement and Communication,
Passing,Life 3,Orphan’s Survival Guide page 128; Enlightened Grimoire p. 137,Obfuscation,
Pathos,Mind 1,Mage: The Ascension First Edition page 205; Mage: The Ascension Second Edition page 210; Enlightened Grimoire p. 126,Mystic Perception,
Peeping Tom,"Time 2, Correspondence 2",Mage: The Ascension First Edition page 228; Enlightened Grimoire p. 31,Divination and Fate,
Pele's Wrath,Forces 4,Book of Crafts page 74; Enlightened Grimoire p. 39,Elemental Magick,
Penance for the Sicarii,"Prime 4, Correspondence 3, optional Time 4",Tradition Book: Celestial Chorus (Revised) page 58; Enlightened Grimoire p. 53,Energy-Work,
Penny Dreadful's Bright New Penny,"Matter 3 or 4, Prime 2, Time 2",Book of Shadows page 142; Mage: The Ascension 20th Anniversary Edition page 608; Enlightened Grimoire p. 91,Inanimate Objects,
Perfect Timing,Time 1,Order of Reason page 85; Enlightened Grimoire p. 128,Mystic Perception,
Perfection of the Tools,"Matter 1, Mind 1",Artisan’s Handbook page 47; Enlightened Grimoire p. 84,Inanimate Objects,
Perpetual Motion,"Forces 5, Prime 2",Technocracy: Iteration X page 49; Enlightened Grimoire p. 92,Inanimate Objects,
Persona,"Life 2 or 4, Mind 2",Technocracy: New World Order page 49; Enlightened Grimoire p. 165,Transformations,
Personal Assistant Software,"Mind 5, Prime 2",Convention Book: New World Order (Revised) page 86; Enlightened Grimoire p. 23,Computers,
Petals of Love,Mind 2,Book of Crafts page 88; Enlightened Grimoire p. 186,Uncanny Influence,
Phlogiston Manipulation,"Forces 3, Life 3 or Matter 3, Prime 2",Book of Crafts page 119; Tradition Book: Order of Hermes (First Edition) page 66; Enlightened Grimoire p. 42,Elemental Magick,
Phosphoric Marker,Life 2,Mage: The Ascension Second Edition page 202; Hidden Lore page 17; Enlightened Grimoire p. 169,Transformations,
Physical Exorcism,"Prime 2, Spirit 2, optional Mind 2",Tradition Book: Dreamspeakers (Revised) page 66; The Spirit Ways page 91; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Physiological Emotion Control,Life 4,Mage: The Ascension First Edition page 200; Mage: The Ascension Second Edition page 203; Mage: The Ascension Revised page 171; Enlightened Grimoire p. 187,Uncanny Influence,
Physiological Rule,Life 4,Technocracy: Progenitors page 44; Enlightened Grimoire p. 77,Healing and Harming,
Pilot Skyrigger,Correspondence 5,Order of Reason page 108; Enlightened Grimoire p. 116,Movement and Communication,
